id,organization_id,name,specifications,default_unit_cost,active,created_at,updated_at,item_name,item_code,unit,default_cost,minimum_stock_level,is_active,asset_type_id,issue_type_id
1dc37641-9cbc-4709-aa1b-f3a03beaccbe,00000000-0000-0000-0000-000000000001,PCB (Control Board),Control Board,4000,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,PCB (Control Board),null,pcs,4000,1,true,b1000000-0000-0000-0000-000000000001,a5831922-eaeb-48c2-941c-fd96fae8813d
122c4530-56f0-4545-887b-9cb54ead6737,00000000-0000-0000-0000-000000000001,Gas Filling (R22 / R410 Partial Refill),R22 / R410 Partial Refill,2000,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Gas Filling (R22 / R410 Partial Refill),null,pcs,2000,1,true,b1000000-0000-0000-0000-000000000001,a5831922-eaeb-48c2-941c-fd96fae8813d
8c561a17-4870-4382-b34e-832fcfe0ccaa,00000000-0000-0000-0000-000000000001,Gas Filling (Full Refill (R410/R32)),Full Refill (R410/R32),3500,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Gas Filling (Full Refill (R410/R32)),null,pcs,3500,1,true,b1000000-0000-0000-0000-000000000001,a5831922-eaeb-48c2-941c-fd96fae8813d
c6d24ad2-d320-4902-a08a-0188fc36882e,00000000-0000-0000-0000-000000000001,Cleaning Tablets,Standard,200,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Cleaning Tablets,null,pcs,200,1,true,b1000000-0000-0000-0000-000000000002,caf6381e-5189-4c1f-bf0a-4dfd99d9b9e7
0bb9b930-1acc-47f4-b3a7-bad2e7ab374f,00000000-0000-0000-0000-000000000001,Drain Pump Motor,Standard,1200,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Drain Pump Motor,null,pcs,1200,1,true,b1000000-0000-0000-0000-000000000002,caf6381e-5189-4c1f-bf0a-4dfd99d9b9e7
104c409f-72c3-4569-9f20-250a07c28f27,00000000-0000-0000-0000-000000000001,Inlet Valve,Standard,600,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Inlet Valve,null,pcs,600,1,true,b1000000-0000-0000-0000-000000000002,caf6381e-5189-4c1f-bf0a-4dfd99d9b9e7
87285018-8e89-4cb8-b675-b49c23b99d4b,00000000-0000-0000-0000-000000000001,Drive Belt,Standard,500,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Drive Belt,null,pcs,500,1,true,b1000000-0000-0000-0000-000000000002,caf6381e-5189-4c1f-bf0a-4dfd99d9b9e7
d3ac9d62-1a45-4f92-8efe-eeb231f93132,00000000-0000-0000-0000-000000000001,Door Lock,Standard,700,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Door Lock,null,pcs,700,1,true,b1000000-0000-0000-0000-000000000002,caf6381e-5189-4c1f-bf0a-4dfd99d9b9e7
0a042464-408b-4593-8808-02245e8b4053,00000000-0000-0000-0000-000000000001,Drum (Inner Drum Assembly),Inner Drum Assembly,3500,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,Drum (Inner Drum Assembly),null,pcs,3500,1,true,b1000000-0000-0000-0000-000000000002,caf6381e-5189-4c1f-bf0a-4dfd99d9b9e7
da6a8fe7-7d51-4937-acdd-7c1e515c9614,00000000-0000-0000-0000-000000000001,AC Remote (Universal),Universal,350,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:26:39.870161+00,AC Remote (Universal),null,pcs,350,1,false,b1000000-0000-0000-0000-000000000001,a5831922-eaeb-48c2-941c-fd96fae8813d
6ce2a34f-3500-40a1-9a52-aac4ae5e2281,00000000-0000-0000-0000-000000000001,fh,sf,0,true,2026-04-27 12:33:50.442134+00,2026-04-27 12:33:50.442134+00,fh,null,pcs,0,0,true,null,7917cc13-aaca-4558-a2c2-8be5cd8fc159
77513902-5d2c-4be3-a287-e2a0a5772f1c,00000000-0000-0000-0000-000000000001,new lock,null,0,true,2026-07-17 07:39:41.819937+00,2026-07-17 07:39:41.819937+00,new lock,null,pcs,0,0,true,null,47389994-b201-4bb1-bf91-8bce4dbde510
5ac3f1c5-d381-43db-b524-37f5ef0736f2,00000000-0000-0000-0000-000000000001,Joint Connectors (Plastic),Plastic,300,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:46:20.008619+00,Joint Connectors (Plastic),null,pcs,300,1,true,b1000000-0000-0000-0000-000000000028,e2aa2aaa-8af6-4807-9a4e-7665c5421eed
1e84f1a7-c1f7-49a5-b980-5d6abea6212c,00000000-0000-0000-0000-000000000001,Rod Pipe (Steel),Steel,500,true,2026-04-22 18:22:06.17155+00,2026-04-22 19:47:02.837378+00,Rod Pipe (Steel),null,pcs,500,1,true,b1000000-0000-0000-0000-000000000028,e2aa2aaa-8af6-4807-9a4e-7665c5421eed
a8c5150b-6e9f-4aba-9dd5-aa369a9e4222,00000000-0000-0000-0000-000000000001,indection,null,0,true,2026-05-26 07:57:24.752576+00,2026-05-26 07:57:24.752576+00,indection,null,pcs,0,0,true,b1000000-0000-0000-0000-000000000005,c5f1c3c0-af88-4c54-9730-ebffed128bc9
