id,organization_id,code,name,account_type,normal_balance,parent_id,is_active,requires_party,requires_allotment,party_kind,description,created_at
223ab370-06ff-4a99-8fbf-ced1c3796e47,00000000-0000-0000-0000-000000000001,5540,Society/Maintenance Fees,EXPENSE,DEBIT,207d5b3c-110e-4dc5-b375-6c9b04fb6b97,true,false,false,null,null,2026-04-25 10:03:17.881395+00
55fb24d1-4ed4-496e-9af5-294af382087f,00000000-0000-0000-0000-000000000001,5600,Administrative,EXPENSE,DEBIT,419ad0eb-734c-4119-8077-daa0718301f1,true,false,false,null,null,2026-04-25 10:03:17.881395+00
527e4c33-03c6-4eec-835a-046d97a48d70,00000000-0000-0000-0000-000000000001,5610,Office Expenses,EXPENSE,DEBIT,55fb24d1-4ed4-496e-9af5-294af382087f,true,false,false,null,null,2026-04-25 10:03:17.881395+00
9530eb9d-f2ca-4f5e-beb4-62613ad009d7,00000000-0000-0000-0000-000000000001,5620,Software & Subscriptions,EXPENSE,DEBIT,55fb24d1-4ed4-496e-9af5-294af382087f,true,false,false,null,null,2026-04-25 10:03:17.881395+00
bba6a5a1-e2ba-4502-9afe-6d90823353b2,00000000-0000-0000-0000-000000000001,5630,Bank Charges & CC Fees,EXPENSE,DEBIT,55fb24d1-4ed4-496e-9af5-294af382087f,true,false,false,null,null,2026-04-25 10:03:17.881395+00
57b5dbf0-2812-409c-b4b3-df143c14f3e4,00000000-0000-0000-0000-000000000001,5640,Professional Fees,EXPENSE,DEBIT,55fb24d1-4ed4-496e-9af5-294af382087f,true,false,false,null,null,2026-04-25 10:03:17.881395+00
ba3437df-3f44-480d-b057-6adff112be90,00000000-0000-0000-0000-000000000001,5700,Salaries & Benefits,EXPENSE,DEBIT,419ad0eb-734c-4119-8077-daa0718301f1,true,false,false,null,null,2026-04-25 10:03:17.881395+00
fb070924-8c1e-4f55-80dc-26e3e737ea77,00000000-0000-0000-0000-000000000001,5800,Marketing & Tenant Acquisition,EXPENSE,DEBIT,419ad0eb-734c-4119-8077-daa0718301f1,true,false,false,null,null,2026-04-25 10:03:17.881395+00
ff9c40ab-3671-4f51-a252-ea001ed6f208,00000000-0000-0000-0000-000000000001,5900,Other Expenses,EXPENSE,DEBIT,419ad0eb-734c-4119-8077-daa0718301f1,true,false,false,null,null,2026-04-25 10:03:17.881395+00
381abcb0-02eb-47af-8c5f-e7b660ef8037,00000000-0000-0000-0000-000000000001,4250,Guest Stay Income,INCOME,CREDIT,ab529ed3-10da-476f-82b0-354eca080084,true,false,false,null,null,2026-04-27 10:52:58.495801+00
bb6334c7-69cf-45fa-a006-af3dcec20ab8,00000000-0000-0000-0000-000000000001,5150,Electricity Payments,EXPENSE,DEBIT,419ad0eb-734c-4119-8077-daa0718301f1,true,false,false,null,null,2026-05-09 03:32:17.410825+00
