name,dashboard_locality,property_type,segment,is_operator_or_aggregator,reject_as_pricing_source,is_self,is_existing_in_pool,is_new,dist_km_from_vishful,distance_precision,within_1km,within_2km,within_3km,within_5km,verified_first_party,official_url,monthly_price,price_confidence,source_url,evidence,name_source,collection_date
Oragadam Rooms,Kattankulathur,unknown,unknown,False,False,False,False,True,,coarse_far_>5km,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Yube1 Premier League - PG in Thiruvanmiyur | Coliving PG,Thiruvanmiyur,co_living,unknown,True,True,False,False,True,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
The Royal Inn Gents PG,Kattankulathur,mens_pg,men,False,False,False,False,True,,coarse_far_>5km,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
The Royal Inn Ladies Pg (Maple Nest),Kattankulathur,womens_pg,women,False,False,False,False,True,,coarse_far_>5km,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Sri Sai Grn Men's Pg & Hostel,Chennai,mens_pg,men,False,False,False,False,True,,unknown_locality,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
MR Regency PG Hostel,Adyar,pg_unknown_gender,unknown,False,False,False,False,True,1.3,suburb_centroid_adyar,False,True,True,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
TSP MENS PG,Chennai,mens_pg,men,False,False,False,True,False,,unknown_locality,False,False,False,False,True,https://tsppgaccommodation.com/,,unknown,https://tsppgaccommodation.com/,own site verified; no public price,vishful_dashboard_screenshot,2026-08-14
Venkat Ramana PG Hostel for Ladies,Kattankulathur,womens_pg,women,False,False,False,False,True,,coarse_far_>5km,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
MG Park,Thiruvanmiyur,unknown,unknown,False,False,False,False,True,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Sree sai pg,Perungudi,pg_unknown_gender,unknown,False,False,False,False,True,3.5,suburb_centroid_perungudi,False,False,False,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Yube1 Capital League - PG in Porur | Coliving PG,Chennai,co_living,unknown,True,True,False,False,True,,unknown_locality,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
"Swarna Sudarshan Serviced Apartments, Adyar, Chennai | Hotel rooms in Adyar",Thiruvanmiyur,hotel,men,False,True,False,False,True,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Wowlife Coliving - HerNest,Chennai,co_living,women,False,False,False,False,True,,unknown_locality,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
SNEHA PG,Thiruvanmiyur,pg_unknown_gender,unknown,False,False,False,False,True,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Oester Hostel for Boys,Kattankulathur,mens_pg,men,False,False,False,False,True,,coarse_far_>5km,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
THE SHIVAM LIVING PG FOR MEN'S,Chennai,mens_pg,men,False,False,False,False,True,,unknown_locality,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
STAY GREEN PG,Perungudi,pg_unknown_gender,unknown,False,False,False,False,True,3.5,suburb_centroid_perungudi,False,False,False,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Chippy Inn Tharamani,Thiruvanmiyur,serviced_apartment,unknown,False,True,False,False,True,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
MCity Elite Suites,Kattankulathur,serviced_apartment,unknown,False,True,False,False,True,,coarse_far_>5km,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Sree Siddhi Vinayaka Mens PG,Perungudi,mens_pg,men,False,False,False,False,True,3.5,suburb_centroid_perungudi,False,False,False,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
SMS LADIES HOSTEL,Kattankulathur,womens_pg,women,False,False,False,False,True,,coarse_far_>5km,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
